id,heater_type_id,serial_number,created_at,updated_at,heater_status_id,status_reason,is_active,current_client_id
220,1,826,2019-12-04 04:08:38.750659,2020-01-04 02:16:06.9306,5,,t,208
197,1,803,2019-12-04 03:58:39.889208,2022-10-22 16:27:25.496992,1,,t,0
199,1,805,2019-12-04 03:59:17.380112,2022-10-22 16:27:26.486977,1,,t,0
198,1,804,2019-12-04 03:59:04.912854,2022-10-22 16:27:27.440431,1,,t,0
208,1,814,2019-12-04 04:02:50.955142,2022-10-22 16:27:28.873735,1,,t,0
209,1,815,2019-12-04 04:03:03.175939,2022-10-22 16:27:29.363973,1,,t,0
216,1,822,2019-12-04 04:07:41.436404,2022-10-22 16:27:31.984945,1,,t,0
214,1,820,2019-12-04 04:07:00.185931,2022-10-22 16:27:32.465779,1,,t,0
222,1,828,2019-12-04 04:09:11.002007,2022-10-22 16:27:33.73464,1,,t,0
223,1,829,2019-12-04 04:09:21.219726,2022-10-22 16:27:35.130873,1,,t,0
224,1,830,2019-12-04 04:09:30.673496,2022-10-22 16:27:35.762131,1,,t,0
227,1,833,2019-12-04 04:10:25.70809,2022-10-22 16:27:37.329173,1,,t,0
229,1,835,2019-12-04 04:10:47.033114,2022-10-22 16:27:38.25596,1,,t,0
237,1,843,2019-12-04 04:13:32.151385,2022-10-22 16:27:41.054852,1,,t,0
238,1,844,2019-12-04 04:13:59.79878,2022-10-22 16:27:41.362565,1,,t,0
244,1,850,2019-12-04 04:14:53.220861,2022-10-22 16:27:42.508895,1,,t,0
248,1,854,2019-12-04 04:17:11.720794,2022-10-22 16:27:43.655546,1,,t,0
252,1,858,2019-12-04 04:17:49.615064,2022-10-22 16:27:44.764993,1,,t,0
253,1,859,2019-12-04 04:18:29.262845,2022-10-22 16:27:46.45942,1,,t,0
260,1,866,2019-12-04 04:20:13.926486,2022-10-22 16:27:48.793072,1,,t,0
263,1,869,2019-12-04 04:21:09.375449,2022-10-22 16:27:49.378052,1,,t,0
268,1,874,2019-12-04 04:21:57.277525,2022-10-22 16:27:50.878128,1,,t,0
270,1,876,2019-12-04 04:22:13.194216,2022-10-22 16:27:52.135329,1,,t,0
271,1,877,2019-12-04 04:22:20.625076,2022-10-22 16:27:52.4722,1,,t,0
273,1,879,2019-12-04 04:23:17.082514,2022-10-22 16:27:53.454414,1,,t,0
286,1,892,2019-12-04 04:25:52.416163,2022-10-22 16:27:54.504614,1,,t,0
388,1,Heater,2020-12-12 14:59:05.191732,2020-12-12 14:59:08.934939,3,,t,718
356,1,922,2020-01-31 21:23:19.746014,2022-08-11 20:28:24.667481,3,,t,473
305,1,651,2019-12-06 02:27:47.969601,2022-10-22 16:27:00.79863,1,,t,0
308,1,665,2019-12-06 02:28:41.42369,2022-10-22 16:27:20.35483,1,,t,0
310,1,669,2019-12-06 02:29:57.487598,2022-10-22 16:27:20.900769,1,,t,0
311,1,677,2019-12-06 02:30:16.640116,2022-10-22 16:27:21.581656,1,,t,0
312,1,692,2019-12-06 02:30:31.924102,2022-10-22 16:27:22.370443,1,,t,0
325,1,721,2019-12-06 02:35:14.268902,2022-10-22 16:27:24.342581,1,,t,0
226,1,832,2019-12-04 04:10:16.712616,2022-10-22 16:27:36.768684,1,,t,0
230,1,836,2019-12-04 04:10:56.314025,2022-10-22 16:27:38.9137,1,,t,0
255,1,861,2019-12-04 04:18:50.725291,2022-10-22 16:27:47.198303,1,,t,0
257,1,863,2019-12-04 04:19:10.873775,2022-10-22 16:27:47.939797,1,,t,0
333,1,901,2019-12-06 19:58:20.471957,2022-10-22 16:27:56.461207,1,,t,0
334,1,902,2019-12-06 19:58:28.905266,2022-10-22 16:27:57.015447,1,,t,0
343,1,910,2020-01-22 01:15:34.702011,2022-10-22 16:27:57.948161,1,,t,0
348,1,914,2020-01-31 21:22:35.150168,2022-10-22 16:27:59.157734,1,,t,0
351,1,917,2020-01-31 21:22:48.711726,2022-10-22 16:28:00.565767,1,,t,0
355,1,921,2020-01-31 21:23:14.762415,2022-10-22 16:28:02.411642,1,,t,0
353,1,919,2020-01-31 21:23:05.856856,2022-10-22 16:28:03.688677,1,,t,0
357,1,923,2020-01-31 21:23:24.828531,2022-10-22 16:28:05.378983,1,,t,0
361,1,927,2020-01-31 21:23:47.153582,2022-10-22 16:28:06.450518,1,,t,0
364,1,929,2020-02-08 13:28:26.979215,2022-10-22 16:28:07.080772,1,,t,0
396,1,Heater,2020-12-12 15:41:54.801396,2022-10-22 16:28:22.848594,1,,t,0
394,1,Heater,2020-12-12 15:29:39.973206,2022-10-22 16:28:24.095246,1,,t,0
387,1,Heater,2020-12-12 14:59:04.335791,2022-10-22 16:28:26.154678,1,,t,0
386,1,Heater,2020-12-12 14:58:26.517057,2022-10-22 16:28:26.764535,1,,t,0
370,1,939,2020-02-15 13:39:32.92276,2022-10-22 16:28:28.1963,1,,t,0
373,1,Heater,2020-12-05 15:45:18.823921,2022-10-22 16:28:28.820583,1,,t,0
375,1,Heater,2020-12-05 16:41:44.559301,2022-10-22 16:28:29.642203,1,,t,0
374,1,Heater,2020-12-05 16:41:32.862283,2022-10-22 16:28:30.311076,1,,t,0
376,1,Heater,2020-12-05 16:41:53.605724,2022-10-22 16:28:31.745687,1,,t,0
382,1,Heater,2020-12-12 14:35:05.363497,2022-10-22 16:28:34.757276,1,,t,0
383,1,Heater,2020-12-12 14:36:38.980843,2022-10-22 16:28:35.380846,1,,t,0
464,1,Heater,2021-12-04 18:11:58.693716,2022-10-22 16:29:08.461523,1,,t,0
417,1,Heater,2020-12-26 15:10:18.639572,2022-06-15 19:31:43.784675,5,,t,781
468,1,Heater,2021-12-11 15:29:45.495987,2022-10-22 16:29:08.120932,1,,t,0
483,1,Heater,2022-01-06 19:22:35.54981,2022-06-20 17:38:43.658544,5,,t,1323
488,1,Heater,2022-02-12 15:51:25.014462,2022-10-22 16:29:10.98498,1,,t,0
467,1,Heater,2021-12-11 15:12:31.514167,2022-06-27 17:06:41.464721,4,,t,1007
471,1,Heater,2021-12-11 17:51:57.5666,2022-08-01 20:52:44.081837,3,,t,1090
448,1,Heater,2021-12-04 16:58:06.409515,2022-10-22 16:29:17.109248,1,,t,0
418,1,Heater,2020-12-26 15:10:19.41208,2022-06-15 19:31:48.69728,5,,t,781
482,1,Heater,2022-01-06 19:22:34.023201,2022-06-20 17:38:37.78094,3,,t,1323
486,1,Heater,2022-02-03 18:02:23.817278,2022-06-23 18:48:15.994164,5,,t,1388
427,1,Heater,2021-01-16 15:45:26.204231,2022-10-13 18:21:49.780713,3,,t,487
479,1,Heater,2022-01-01 14:57:51.745538,2022-10-22 16:29:07.235247,1,,t,0
484,1,Heater,2022-01-13 18:49:52.562127,2022-10-22 16:29:09.809249,1,,t,0
450,1,Heater,2021-12-04 16:59:52.757952,2022-10-22 16:29:17.699129,1,,t,0
451,1,Heater,2021-12-04 16:59:53.545182,2022-10-22 16:29:18.220424,1,,t,0
453,1,Heater,2021-12-04 17:00:27.782412,2022-10-22 16:29:19.523087,1,,t,0
452,1,Heater,2021-12-04 17:00:14.661997,2022-10-22 16:29:18.984524,1,,t,0
456,1,Heater,2021-12-04 17:31:29.317602,2022-10-22 16:29:20.910665,1,,t,0
454,1,Heater,2021-12-04 17:00:29.301519,2022-10-22 16:29:20.498222,1,,t,0
459,1,Heater,2021-12-04 17:36:02.089202,2022-10-22 16:29:21.278756,1,,t,0
462,1,Heater,2021-12-04 18:11:39.805835,2022-10-22 16:29:21.722182,1,,t,0
